name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
上田バイパス店,長野県上田市大字上田字馬飼免１８４０－１,36.4130556574,138.260821717,1,1,1,0,1,0,0,0,0,1
若里店,長野県長野市若里７－６－３,36.628515418,138.198787923,1,1,1,0,1,0,0,0,0,1
ザ・ビッグ穂高店,長野県安曇野市穂高有明１０３６８－１,36.3396250142,137.858227569,0,0,0,0,0,0,0,0,0,1
１８号小島田店,長野県長野市小島田町１０２５－１,36.5949156295,138.186717834,1,1,1,0,1,0,0,0,0,1
安曇野インター店,長野県安曇野市大字南穂高１１１５,36.3010819523,137.923514769,1,1,1,0,1,0,0,0,0,1
佐久インター店,長野県佐久市岩村田北１－１３－６,36.2837882092,138.483031165,1,1,1,0,1,0,0,0,0,1
駒ヶ根ベルシャイン店,長野県駒ヶ根市赤穂１５６８,35.7418042844,137.927902787,0,1,1,0,1,0,0,0,0,1
イオン飯田アップルロード店,長野県飯田市鼎一色４５６,35.5007302627,137.816863527,0,0,0,1,0,0,0,0,0,1
高森アピタ店,長野県下伊那郡高森町山吹４５１５,35.5727891726,137.899603911,0,0,0,0,0,0,0,0,0,1
茅野オギノ店,長野県茅野市塚原１－１７－１,36.0004833138,138.151261169,0,0,0,1,0,0,0,0,0,1
イオンモール佐久平店,長野県佐久市佐久平駅南１１－１０,36.2753011834,138.464117035,0,0,0,0,0,0,0,0,0,1
信州中野店,長野県中野市大字江部字松崎１３４３－２４,36.744125281,138.350388584,1,0,1,0,1,0,0,1,0,1
